 Race , Age  , Trial     , LettersSent ,YYES,YNO,Y3,Y4,Y5,Test
 B    ,20,2,0,NO,NO,NO,NO,NO,NO
 M    ,64,2,0,NO,YES,YES,YES,YES,NO
 U    ,53,2,0,NO,NO,NO,NO,YES,YES
 W    ,20,2,0,NO,NO,NO,NO,YES,YES
 B    ,55,2,0,NO,NO,NO,NO,YES,NO
 W    ,20,2,0,NO,NO,NO,NO,NO,NO
 W    ,23,2,0,NO,NO,NO,NO,NO,NO
 U    ,39,2,0,NO,NO,NO,NO,YES,YES
 W    ,48,2,0,NO,NO,NO,NO,YES,YES
 W    ,35,2,0,YES,NO,NO,NO,YES,YES
 W    ,26,2,0,NO,NO,NO,NO,YES,YES
 W    ,33,2,0,NO,NO,NO,NO,NO,YES
 W    ,19,2,0,NO,NO,NO,NO,NO,YES
 B    ,19,2,0,NO,NO,NO,NO,NO,YES
 B    ,48,2,0,YES,NO,YES,YES,YES,NO
 W    ,61,2,0,YES,NO,YES,YES,YES,YES
 O    ,67,2,0,NO,NO,YES,YES,YES,YES
 B    ,50,2,0,YES,YES,YES,YES,YES,YES
 B    ,68,2,0,YES,NO,YES,YES,YES,YES
 W    ,49,2,0,YES,YES,YES,NO,YES,YES
 W    ,64,2,0,YES,NO,YES,NO,YES,NO
 W    ,69,2,0,YES,YES,YES,NO,YES,NO
 W    ,77,2,0,YES,NO,YES,YES,YES,NO
 B    ,70,2,0,NO,NO,YES,YES,YES,YES
 B    ,92,2,0,YES,NO,YES,YES,YES,YES
 W    ,86,2,0,YES,YES,YES,YES,YES,NO
 W    ,73,2,0,YES,NO,NO,YES,YES,YES
 W    ,34,2,0,YES,NO,YES,YES,YES,YES
 W    ,33,2,0,YES,NO,YES,YES,YES,YES
 B    ,42,2,0,YES,NO,YES,YES,YES,YES
 W    ,33,2,0,NO,NO,YES,NO,YES,NO
 M    ,32,2,0,YES,YES,YES,NO,YES,YES
 O    ,70,2,0,YES,YES,YES,YES,YES,YES
 W    ,31,2,0,YES,YES,YES,NO,YES,NO
 W    ,83,2,0,YES,YES,YES,NO,YES,NO
 W    ,57,2,0,YES,NO,YES,NO,YES,NO
 B    ,49,2,0,YES,YES,YES,YES,YES,YES
 W    ,48,2,0,YES,NO,YES,YES,YES,YES
 W    ,52,2,0,YES,NO,YES,YES,YES,YES
 A    ,55,2,0,YES,NO,YES,NO,YES,YES
 W    ,60,2,0,YES,YES,YES,YES,YES,YES
 W    ,43,2,0,YES,YES,YES,YES,YES,YES
 W    ,55,2,0,YES,NO,YES,YES,YES,YES
 B    ,38,2,0,YES,YES,YES,NO,YES,YES
 W    ,83,2,0,YES,NO,YES,YES,YES,YES
 W    ,58,2,0,YES,NO,YES,YES,YES,YES
 W    ,48,2,0,YES,NO,YES,NO,YES,YES
 W    ,48,2,0,YES,NO,YES,NO,YES,NO
 W    ,53,2,0,YES,NO,YES,YES,YES,YES
 B    ,67,2,0,YES,NO,YES,YES,YES,NO
 W    ,76,2,0,YES,NO,NO,NO,YES,NO
 W    ,22,2,0,NO,NO,NO,YES,YES,NO
 A    ,22,2,0,NO,NO,NO,YES,YES,YES
 W    ,48,2,0,YES,NO,YES,YES,YES,YES
 W    ,54,2,0,YES,NO,YES,YES,YES,YES
 O    ,46,2,0,YES,NO,YES,YES,YES,YES
 W    ,74,2,0,YES,YES,YES,YES,YES,YES
 B    ,54,2,0,YES,YES,YES,YES,YES,YES
 W    ,61,2,0,YES,YES,YES,YES,YES,NO
 W    ,61,2,0,YES,NO,YES,YES,YES,NO
